phi,subsystem,etaBefore,etaAfter,X0Before,X0After,deltaX0,deltaLambdaI,topVolume,topVolumeDeltaX0
1.5707963267949,EMCAL,0.9,0.905,18.79921257,21.98693908,3.187726505,0.1387531119,CEMC_0_Tower_1202,1.948191721
0,EMCAL,0.9,0.905,18.79921257,21.98693908,3.187726505,0.1387531119,CEMC_0_Tower_1202,1.948191721
0,EMCAL,-0.73,-0.725,21.56887208,18.3813362,-3.18753588,-0.1475064354,CEMC_0_Tower_842,-2.901877268
1.5707963267949,EMCAL,-0.73,-0.725,21.56887208,18.3813362,-3.18753588,-0.1475064354,CEMC_0_Tower_842,-2.901877268
0,EMCAL,0.72,0.725,18.46078784,21.5882068,3.127418958,0.1455241884,CEMC_0_Tower_1162,3.285139713
1.5707963267949,EMCAL,0.72,0.725,18.46078784,21.5882068,3.127418958,0.1455241884,CEMC_0_Tower_1162,3.285139713
1.5707963267949,EMCAL,0.95,0.955,22.66204732,25.7851173,3.123069981,0.137689511,CEMC_0_Tower_1212,5.594527649
0,EMCAL,0.95,0.955,22.66204732,25.7851173,3.123069981,0.137689511,CEMC_0_Tower_1212,5.594527649
0,EMCAL,-1.06,-1.055,21.75573684,24.84164124,3.085904398,0.1560550948,CEMC_0_Tower_781,4.359198548
1.5707963267949,EMCAL,-1.06,-1.055,21.75573684,24.84164124,3.085904398,0.1560550948,CEMC_0_Tower_781,4.359198548
0,EMCAL,0.58,0.585,18.44393784,21.46415003,3.020212193,0.1386862267,CEMC_0_Tower_1132,3.512912901
1.5707963267949,EMCAL,0.58,0.585,18.44393784,21.46415003,3.020212193,0.1386862267,CEMC_0_Tower_1132,3.512912901
1.5707963267949,EMCAL,-0.93,-0.925,19.51170011,22.51313706,3.00143695,0.1363680462,CEMC_0_Tower_811,2.576255403
0,EMCAL,-0.93,-0.925,19.51170011,22.51313706,3.00143695,0.1363680462,CEMC_0_Tower_811,2.576255403
1.5707963267949,EMCAL,0.535,0.54,18.78075386,21.7408556,2.960101735,0.1089306856,CEMC_0_Tower_1122,5.702179305
0,EMCAL,0.535,0.54,18.78075386,21.7408556,2.960101735,0.1089306856,CEMC_0_Tower_1122,5.702179305
1.5707963267949,EMCAL,0.63,0.635,18.90902316,21.8136181,2.904594943,0.1138935027,CEMC_0_Tower_1142,5.801356675
0,EMCAL,0.63,0.635,18.90902316,21.8136181,2.904594943,0.1138935027,CEMC_0_Tower_1142,5.801356675
1.5707963267949,EMCAL,0.595,0.6,21.38504438,18.51552082,-2.869523564,-0.1444896626,CEMC_0_Tower_1121,-3.28044335
0,EMCAL,0.595,0.6,21.38504438,18.51552082,-2.869523564,-0.1444896626,CEMC_0_Tower_1121,-3.28044335
1.5707963267949,EMCAL,-0.975,-0.97,19.60008354,22.44618345,2.846099915,0.1297850299,CEMC_0_Tower_801,2.183616376
0,EMCAL,-0.975,-0.97,19.60008354,22.44618345,2.846099915,0.1297850299,CEMC_0_Tower_801,2.183616376
0,EMCAL,1.075,1.08,20.42087614,23.26483447,2.843958328,0.1360281234,CEMC_0_Tower_1242,1.943264355
1.5707963267949,EMCAL,1.075,1.08,20.42087614,23.26483447,2.843958328,0.1360281234,CEMC_0_Tower_1242,1.943264355
0,OHCAL,1.025,1.03,49.57361794,47.12395533,-2.449662612,-0.2650931461,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.285794521
0,OHCAL,-1.035,-1.03,47.12427301,49.57390735,2.449634339,0.2650865865,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.285794896
0,OHCAL,-1.04,-1.035,44.71070497,47.12427301,2.41356804,0.2573782846,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.282846749
0,OHCAL,1.03,1.035,47.12395533,44.71041704,-2.413538289,-0.2573715712,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.28284638
1.5707963267949,OHCAL,-1.08,-1.075,4.913402328,7.246156267,2.332753938,0.2444407298,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,2.333341568
0,OHCAL,0.93,0.935,45.98846948,48.00200549,2.013536013,0.2119553037,av_15_impr_1_RingSupport_steel_2_pv_1,1.088282421
0,OHCAL,-0.94,-0.935,48.01677191,46.00333269,-2.013439226,-0.2119724933,av_15_impr_1_RingSupport_steel_1_pv_0,-1.088282902
