phi,eta,subsystem,sumX0,sumLambdaI
0,-1.055,OHCAL,40.0142557004572,4.50640011774542
0,-1.055,OTHER,2.59806001581744e-25,4.67973734164792e-25
0,-1.055,PIPE,0.00347115500619606,0.00310677859394055
0,-1.055,TPC,0.0666620691001041,0.0244209938341476
0,-1.05,EMCAL,27.3820882301966,1.19615763751344
0,-1.05,IHCAL,1.86959063056154,0.487452135924374
0,-1.05,INTT,0.0877995390299399,0.0361856220033377
0,-1.05,MAGNET,1.35269685290617,0.309402297660234
0,-1.05,MVTX,0.0220974830079681,0.00966044349877632
0,-1.05,OHCAL,41.5084006064497,4.68990920341889
0,-1.05,OTHER,2.58008282541764e-25,4.64735605380251e-25
0,-1.05,PIPE,0.00345761264790337,0.00309465781316871
0,-1.05,TPC,0.0664019938160347,0.0243257178099496
0,-1.045,EMCAL,25.5949398144263,1.1357132688434
0,-1.045,IHCAL,1.862314925273,0.485555161017364
0,-1.045,INTT,0.0874578514263659,0.0360447991857836
0,-1.045,MAGNET,1.3663313850863,0.312520923666492
0,-1.045,MVTX,0.0243339843534408,0.0108601700117275
0,-1.045,OHCAL,43.0053974195003,4.87375660396684
0,-1.045,OTHER,2.56192922503948e-25,4.61465700872355e-25
0,-1.045,PIPE,0.00344415673010693,0.00308261439900334
0,-1.045,TPC,0.0661435785852602,0.0242310499299627
0,-1.04,EMCAL,20.1148309977359,0.890813976254079
0,-1.04,IHCAL,1.85508577631152,0.483670324638853
0,-1.04,INTT,0.0871183502736326,0.0359048774900863
0,-1.04,MAGNET,1.36519898437149,0.312261909695784
0,-1.04,MVTX,0.0223949159699602,0.00983528896032219
0,-1.04,OHCAL,44.7107049664491,5.07307359597685
0,-1.04,OTHER,2.54359613419868e-25,4.58163465771042e-25
0,-1.04,PIPE,0.00343078691640819,0.00307064805035856
0,-1.04,TPC,0.0658868169474131,0.0241369878274882
0,-1.035,EMCAL,20.2118019427884,0.861057298523136
0,-1.035,IHCAL,1.84790300296487,0.481797579671687
0,-1.035,INTT,0.0867810270841935,0.0357658534181963
0,-1.035,MAGNET,1.251842404595,0.28633386368725
0,-1.035,MVTX,0.0218411428191334,0.00954837825090122
0,-1.035,OHCAL,47.1242730064309,5.33045188056036
0,-1.035,OTHER,2.51992724851664e-25,4.53900124374497e-25
0,-1.035,PIPE,0.00341750287256099,0.00305875846807492
0,-1.035,TPC,0.0656317024834124,0.0240435291509654
0,-1.03,EMCAL,20.2360430851536,0.923396738750532
0,-1.03,IHCAL,1.84076632684469,0.479936856694362
0,-1.03,INTT,0.0864458734249516,0.0356277234945048
0,-1.03,MAGNET,1.13751390013819,0.260183509385028
0,-1.03,MVTX,0.0217567909834406,0.00951150182735403
0,-1.03,OHCAL,49.5739073456557,5.59553846702271
0,-1.03,OTHER,2.47248059549607e-25,4.45353829349564e-25
0,-1.03,PIPE,0.00340430426646366,0.00304694535491234
0,-1.03,TPC,0.0653782288153833,0.0239506715639227
0,-1.025,EMCAL,19.970200973441,0.914649288804077
0,-1.025,IHCAL,1.83434549782314,0.478490648233636
0,-1.025,INTT,0.0861128809170476,0.0354904842657561
0,-1.025,MAGNET,1.02552883493195,0.234569169849897
0,-1.025,MVTX,0.0227205892795156,0.0100329804671948
0,-1.025,OHCAL,51.062172923286,5.74714599648977
0,-1.025,OTHER,2.424805152345e-25,4.36766323663192e-25
0,-1.025,PIPE,0.00339119076815026,0.0030352084155423
0,-1.025,TPC,0.0651263896064973,0.0238584127449186
0,-1.02,EMCAL,20.3302784692614,0.925187299698
0,-1.02,IHCAL,1.85160870349569,0.491260823950837
0,-1.02,INTT,0.0857820412356516,0.0353541323009625
0,-1.02,MAGNET,0.92158931594004,0.210795087782134
0,-1.02,MVTX,0.0244253151446568,0.0109491400645927
0,-1.02,OHCAL,50.7066480456488,5.70583989074818
0,-1.02,OTHER,2.37689480936109e-25,4.28136506809542e-25
0,-1.02,PIPE,0.00337816204978273,0.00302354735654076
0,-1.02,TPC,0.0648761785607347,0.0237667503874747
0,-1.015,EMCAL,21.8550187369893,0.998552756055216
0,-1.015,IHCAL,1.84451381920819,0.489378439426218
0,-1.015,INTT,0.0854533461097544,0.0352186641913179
0,-1.015,MAGNET,0.92233975749951,0.210966736250348
0,-1.015,MVTX,0.0233000590058299,0.010357561473582
0,-1.015,OHCAL,50.3694087583579,5.67501596934829
0,-1.015,OTHER,2.32874334930914e-25,4.19463258913492e-25
0,-1.015,PIPE,0.00336521778564232,0.00301196188638056
0,-1.015,TPC,0.0646275894228064,0.0236756822000273
