region,eta,subsystem,nsamples,meanX0,rmsX0,meanLambdaI,rmsLambdaI
SECTOR,-0.84,PIPE,130,0.002968140907654,7.34068648457472e-08,0.00265656722884414,6.57011414545816e-08
SECTOR,-0.84,MVTX,130,0.0334556116170494,0.0253237574376795,0.0133354816402587,0.00609338501089786
SECTOR,-0.84,INTT,130,0.0798567222930671,0.0202765655411781,0.0348802438580072,0.0086536909440847
SECTOR,-0.84,TPC,130,0.0586947726769799,0.017920511332482,0.0212288733377428,0.00354268444120879
SECTOR,-0.84,EMCAL,130,21.5516875981338,2.39402542612905,0.941422377032414,0.0940445280235121
SECTOR,-0.84,MAGNET,130,2.18435556210624,0.199571163471629,0.499627561319879,0.0456479043269655
SECTOR,-0.84,IHCAL,130,1.53912103926339,0.157036873322903,0.402770584007534,0.0357988627164315
SECTOR,-0.84,OHCAL,130,41.9679731825826,1.102150595996,4.57848149581097,0.11614356086475
SECTOR,-0.84,OTHER,130,0.00479862866326869,0.0131133343891753,0.00114977348799777,0.00333922060711873
SECTOR,-0.82,PIPE,131,0.00320829267267923,0.00225089172287115,0.0026549819998403,0.000275635313937062
SECTOR,-0.82,MVTX,131,0.0292299357311031,0.0178392364680044,0.0121033712018647,0.00472607348491183
SECTOR,-0.82,INTT,131,0.0803497100495899,0.0151972757292354,0.0349523644305378,0.00678417685524411
SECTOR,-0.82,TPC,131,0.0563246832035937,0.000651014417264139,0.0206273249140412,0.000195309962874299
SECTOR,-0.82,EMCAL,131,21.3948298207256,2.4233556320004,0.933497101886089,0.0892642159406895
SECTOR,-0.82,MAGNET,131,2.09474935026826,0.175267235563042,0.479131936030488,0.0400888678577681
SECTOR,-0.82,IHCAL,131,1.51737095822156,0.145407828342002,0.398278737956746,0.0336380529691174
SECTOR,-0.82,OHCAL,131,41.6112526998116,1.02843068179537,4.53935850736005,0.110395887854377
SECTOR,-0.82,OTHER,131,0.00471167371843865,0.0139530152126596,0.00111521945607324,0.00332165585473723
SECTOR,-0.8,PIPE,122,0.00288908028546018,7.28716792270135e-08,0.00258580581132837,6.52221385963856e-08
SECTOR,-0.8,MVTX,122,0.0311611295041647,0.0240328402136344,0.0124038869693253,0.00575674868340207
SECTOR,-0.8,INTT,122,0.0805694999160638,0.0143601450453221,0.0351461318242285,0.00663473534534316
SECTOR,-0.8,TPC,122,0.0555972157193513,0.000732965957698171,0.0203617530626312,0.00023015570730808
SECTOR,-0.8,EMCAL,122,21.294777819667,2.3959565083145,0.928990621359927,0.0924361265023753
