phi,eta,subsystem,sumX0,sumLambdaI
0,-0.86,INTT,0.0758893270533861,0.0312769580931976
0,-0.86,MAGNET,2.26744157330779,0.518631821375598
0,-0.86,MVTX,0.0210116729572161,0.00936848388073879
0,-0.86,OHCAL,41.4408167425118,4.5359070349229
0,-0.86,OTHER,2.5513198296774e-25,4.59554690990137e-25
0,-0.86,PIPE,0.00298857943856839,0.0026748602725783
0,-0.86,TPC,0.0573944086879878,0.0210258775283325
0,-0.84,EMCAL,23.3357140363732,1.03647168951106
0,-0.84,IHCAL,1.66172536392557,0.439200110910148
0,-0.84,INTT,0.0748555395566825,0.0308508938564055
0,-0.84,MAGNET,2.23655379449875,0.511566860950352
0,-0.84,MVTX,0.018839723211326,0.00823623584414441
0,-0.84,OHCAL,40.8763001365599,4.47411782385729
0,-0.84,OTHER,2.62460388630184e-25,4.72754930178028e-25
0,-0.84,PIPE,0.0029478681004072,0.00263842251232154
0,-0.84,TPC,0.056612564594944,0.020739456629111
0,-0.82,EMCAL,18.9307938486254,0.806539117586531
0,-0.82,IHCAL,1.67062132087199,0.440442142742128
0,-0.82,INTT,0.0738516952738889,0.0304371703885067
0,-0.82,MAGNET,2.06123529587853,0.471466267695552
0,-0.82,MVTX,0.0185870745957779,0.00812578445587242
0,-0.82,OHCAL,40.3281332599988,4.41411817944816
0,-0.82,OTHER,2.69576530148336e-25,4.85572830068022e-25
0,-0.82,PIPE,0.00290833594879159,0.00260304015624911
0,-0.82,TPC,0.0558533662825748,0.0204613317890701
0,-0.8,EMCAL,19.6139758996966,0.85945835974168
0,-0.8,IHCAL,1.55184846768885,0.404608029147195
0,-0.8,INTT,0.0728773926539071,0.0300356221945977
0,-0.8,MAGNET,1.88366465281372,0.430850541531021
0,-0.8,MVTX,0.0197939330575785,0.00879218187017592
0,-0.8,OHCAL,39.7960993470755,4.35588436418738
0,-0.8,OTHER,2.76483254073685e-25,4.98013517990983e-25
0,-0.8,PIPE,0.00286996717033381,0.00256869905094685
0,-0.8,TPC,0.0551165100614327,0.0201913917545653
0,-0.78,EMCAL,18.5495849508492,0.828582513058431
0,-0.78,IHCAL,1.53172257464989,0.399360671839823
0,-0.78,INTT,0.0719322419626985,0.0296460886500467
0,-0.78,MAGNET,1.78069037045153,0.407297237999396
0,-0.78,MVTX,0.0181039845090047,0.00791459006389538
0,-0.78,OHCAL,39.279984298494,4.29939294962893
0,-0.78,OTHER,2.83183323187892e-25,5.10081970387958e-25
0,-0.78,PIPE,0.00283274641701092,0.00253538545951475
0,-0.78,TPC,0.0544017011792265,0.0199295285459862
0,-0.76,EMCAL,18.4637149120535,0.843160587697116
0,-0.76,IHCAL,1.53288769179955,0.406698868228851
0,-0.76,INTT,0.0710158651273843,0.0292684139362423
0,-0.76,MAGNET,1.75800536353634,0.402108497264974
0,-0.76,MVTX,0.0203106768820675,0.00911226037267359
